date,type,weighted_return,weighted_rolling_return
2025-05-14,ETH,7.39090120013175,5.971869075767402
2025-05-15,Altcoin,-2.3888600369976274,2.5138310201361747
2025-05-15,BTC,-0.5663651466510711,0.9667076187691153
2025-05-15,ETH,-2.7243520685371725,5.628705060260657
2025-05-16,Altcoin,-4.009030622512073,0.594202913595116
2025-05-16,BTC,0.11045537682159434,0.09174618514865893
2025-05-16,ETH,-2.3589879610722564,2.235854620149218
2025-05-17,Altcoin,-0.022250797611345602,0.11015790798959604
2025-05-17,BTC,-0.14735138071797493,0.08645894701756962
2025-05-17,ETH,0.0822227107860174,1.312494150059839
2025-05-18,Altcoin,-1.5963599560099888,-0.8107214681132461
2025-05-18,BTC,-0.331868732874141,-0.19242740634147917
2025-05-18,ETH,-2.7249252305540095,-0.5549814599199475
2025-05-19,Altcoin,2.6768133011405477,0.021500109266295378
2025-05-19,BTC,2.7305573791290394,0.28459973921224996
2025-05-19,ETH,-0.39245229445475927,-0.18964543176407758
2025-05-20,Altcoin,-1.339784276749847,-0.5965769989426537
2025-05-20,BTC,-0.3784018351072893,0.3840169201184432
2025-05-20,ETH,2.500613855736411,0.2532886017194253
2025-05-21,Altcoin,0.04808117159923536,-0.9502877880820629
2025-05-21,BTC,1.0956267675633846,0.35895034688050614
2025-05-21,ETH,-0.10745198672563738,-0.8179047106887729
2025-05-22,Altcoin,2.818991118297836,-0.2033251296296521
2025-05-22,BTC,2.6961627429285207,0.8250257596775906
2025-05-22,ETH,1.3736974015593484,-0.2324690721035556
2025-05-23,Altcoin,2.7124302361160515,0.7580628878382134
2025-05-23,BTC,1.727514066540481,1.056034143923146
2025-05-23,ETH,3.8381836840831296,0.6528411629186424
2025-05-24,Altcoin,-4.843307191647949,0.06863341967358799
2025-05-24,BTC,-3.89357697362529,0.5208590592221009
2025-05-24,ETH,-5.169175016896532,-0.09735851246457893
2025-05-25,Altcoin,1.187089413270692,0.47410430876605997
2025-05-25,BTC,0.5733205324353063,0.6501718114091648
2025-05-25,ETH,0.3821383607283124,0.3465077148614671
2025-05-26,Altcoin,0.5044723060476007,0.17338516663630255
2025-05-26,BTC,0.9556093866045723,0.39660781247709803
2025-05-26,ETH,0.6790875388676065,0.49958483390751934
2025-05-27,Altcoin,-0.44102734859392645,0.2991547893789135
2025-05-27,BTC,0.47390793281802956,0.5183663507521435
2025-05-27,ETH,0.6107236883254652,0.2296005242773842
2025-05-28,Altcoin,1.0139686431379547,0.429427543133531
2025-05-28,BTC,-0.282743320466905,0.3214563381763879
2025-05-28,ETH,3.8998588685420277,0.8020735036013364
2025-05-29,Altcoin,-1.5857221703833446,-0.20561298875032855
2025-05-29,BTC,-1.127982069635436,-0.224850063618463
2025-05-29,ETH,0.5324137811819174,0.6818901292617033
2025-05-30,Altcoin,-2.0601159578108796,-0.8904963849532335
2025-05-30,BTC,-1.9406555486743637,-0.7488742943634408
2025-05-30,ETH,-1.611505850326711,-0.09663694708255958
2025-05-31,Altcoin,-4.916336356761034,-0.8954741342546471
2025-05-31,BTC,-1.6402574190579222,-0.4269715008538168
2025-05-31,ETH,-4.126746183953179,0.05228145762363377
2025-06-01,Altcoin,0.6304558077883842,-0.9781979593897422
2025-06-01,BTC,0.6504969572125763,-0.41594629731420685
2025-06-01,ETH,0.3124034362170569,0.04231932555059727
2025-06-02,Altcoin,0.5869172688513213,-0.964385653701674
2025-06-02,BTC,0.9767149242419171,-0.4129312205088719
2025-06-02,ETH,0.23564053153362075,-0.021030246925686415
2025-06-03,Altcoin,0.6299515083948412,-0.8119306534669283
2025-06-03,BTC,0.16529815927306402,-0.4570183310152955
2025-06-03,ETH,2.813156440603448,0.2936030033997397
2025-06-04,Altcoin,0.14726924327651064,-0.932351627490925
2025-06-04,BTC,-0.4252408511071004,-0.477375121106752
2025-06-04,ETH,-0.5467330832438222,-0.3416244182839531
2025-06-05,Altcoin,-1.241968095831517,-0.8818900050740449
2025-06-05,BTC,-0.589521803177917,-0.400452225898535
2025-06-05,ETH,0.5730845973636933,-0.33581430168655657
2025-06-06,Altcoin,-4.853523568642223,-1.2721945487821413
2025-06-06,BTC,-3.0169749282839997,-0.5542121372713401
2025-06-06,ETH,-7.230546803203087,-1.138534437811753
2025-06-07,Altcoin,2.6165154894713822,-0.21570562540740582
2025-06-07,BTC,2.71420646701952,0.06785413216829442
2025-06-07,ETH,2.469559491552209,-0.19620505559669763
2025-06-08,Altcoin,1.4908126407580193,-0.09374767851913067
2025-06-08,BTC,1.2179944291476064,0.14892519958758443
