type,date,vol_24hr,total_daily_vol,daily_%_vol
BTC,2025-01-23,55030669602.56557,102810700424.85626,53.53
BTC,2025-01-24,102455227371.20761,165389831097.51852,61.95
BTC,2025-01-25,51418786362.7815,99800149488.37936,51.52
BTC,2025-01-26,22740744964.719296,49384881576.32483,46.05
BTC,2025-01-27,20639818380.26942,46177671227.76023,44.7
BTC,2025-01-28,93191643783.24739,175740679658.00165,53.03
BTC,2025-01-29,45780526813.56264,86161066748.21515,53.13
BTC,2025-01-30,47425401641.53094,89104472391.18024,53.22
BTC,2025-01-31,42122570869.034325,77566497884.45226,54.31
BTC,2025-02-01,37187819228.35328,84004721546.69814,44.27
BTC,2025-02-02,22827776122.48367,55659911519.688385,41.01
BTC,2025-02-03,59784234332.21204,135657963564.05807,44.07
BTC,2025-02-04,122163969235.23686,300352274108.77686,40.67
BTC,2025-02-05,73196693057.98114,160683376103.32205,45.55
BTC,2025-02-06,48848958931.79228,96777342255.42578,50.48
BTC,2025-02-07,44462180396.172516,94113394057.8809,47.24
BTC,2025-02-08,57077722340.22422,108773441118.50618,52.47
BTC,2025-02-09,20760850644.84597,48238145593.879456,43.04
BTC,2025-02-10,25457107581.051964,56576319143.37669,45.0
BTC,2025-02-11,37054987393.57789,71428035630.7184,51.88
BTC,2025-02-12,36454577154.5622,75298921996.9273,48.41
BTC,2025-02-13,47115618235.19051,93190076020.57309,50.56
BTC,2025-02-14,29084371910.690556,65852955880.842926,44.17
BTC,2025-02-15,32289906944.92862,69437633770.58023,46.5
BTC,2025-02-16,14215311318.346336,33821555790.71492,42.03
BTC,2025-02-17,13634794998.739267,31939662329.396217,42.69
BTC,2025-02-18,25324374113.08163,65315149810.47824,38.77
BTC,2025-02-19,38311133144.729355,81776287737.10277,46.85
BTC,2025-02-20,27703222487.389572,54913239236.37931,50.45
BTC,2025-02-21,24175261969.81266,51394720764.551216,47.04
BTC,2025-02-22,42477472950.92155,92418649017.54459,45.96
BTC,2025-02-23,18464415570.762142,45008572781.39498,41.02
BTC,2025-02-24,16643044374.983364,45403237726.8412,36.66
BTC,2025-02-25,45539703844.38777,100789449495.78125,45.18
BTC,2025-02-26,96742453402.56294,175280842181.26215,55.19
BTC,2025-02-27,69277430795.68657,117473602666.15129,58.97
BTC,2025-02-28,81960688217.70384,185380847690.29352,44.21
BTC,2025-03-01,80695237175.07367,139422080184.0289,57.88
BTC,2025-03-02,30634474722.6359,57753523609.15895,53.04
BTC,2025-03-03,61859112550.80991,144525342549.63416,42.8
BTC,2025-03-04,68715362745.4567,139181132639.35074,49.37
BTC,2025-03-05,65863356680.42408,133416658656.22672,49.37
BTC,2025-03-06,51606642859.81411,92906867606.98215,55.55
BTC,2025-03-07,47555759124.64708,87589980370.58487,54.29
BTC,2025-03-08,63216440874.73251,111066035824.0424,56.92
BTC,2025-03-09,18809360803.37126,40204446647.53454,46.78
BTC,2025-03-10,32013406240.51754,64912027764.706604,49.32
BTC,2025-03-11,49983692766.22745,108509737936.96526,46.06
BTC,2025-03-12,56404462275.083046,109491938890.50078,51.51
BTC,2025-03-13,41782186208.59073,83503503350.28712,50.04
BTC,2025-03-14,32583592654.882656,66737035611.38443,48.82
BTC,2025-03-15,28571483950.074646,54973406283.19751,51.97
BTC,2025-03-16,10761796127.312485,27095600688.54472,39.72
BTC,2025-03-17,21638031633.118767,41466300745.728386,52.18
BTC,2025-03-18,19659366246.596867,42415778455.725555,46.35
BTC,2025-03-19,24557570268.85276,46938549486.13156,52.32
BTC,2025-03-20,33871216993.304657,75157173941.71811,45.07
BTC,2025-03-21,27579127651.06656,54855094547.30285,50.28
BTC,2025-03-22,18091004975.919056,38074853179.26309,47.51
BTC,2025-03-23,7771134681.982918,19772214429.280254,39.3
BTC,2025-03-24,12617587530.619724,27844791994.941376,45.31
BTC,2025-03-25,27270889835.1835,57379119346.77784,47.53
BTC,2025-03-26,30351832942.705593,55714256474.134834,54.48
BTC,2025-03-27,25522877558.700558,52720183168.21936,48.41
BTC,2025-03-28,24620445368.489468,49006493149.14017,50.24
BTC,2025-03-29,31674486232.097313,63820554798.8374,49.63
BTC,2025-03-30,16837439419.924389,40544947241.325516,41.53
BTC,2025-03-31,13428975108.070734,31597276843.207077,42.5
BTC,2025-04-01,30326148749.91535,60465990879.14211,50.15
BTC,2025-04-02,29172899851.734768,58159624973.220825,50.16
BTC,2025-04-03,46332905657.77597,88894279305.22762,52.12
BTC,2025-04-04,36594464539.14662,70556006869.72025,51.87
BTC,2025-04-05,35647289400.47406,72691156815.87129,49.04
BTC,2025-04-06,14910400035.531416,28136991513.11626,52.99
BTC,2025-04-07,36140377231.68329,74658468750.32703,48.41
BTC,2025-04-08,82909748172.59216,167658421597.2343,49.45
BTC,2025-04-09,47812787635.22632,89376886202.00171,53.5
BTC,2025-04-10,87408220482.11568,155619945969.56537,56.17
BTC,2025-04-11,41213520154.25157,76704121069.65944,53.73
BTC,2025-04-12,39813566443.76779,66268243867.73496,60.08
BTC,2025-04-13,22428929482.069122,46393373030.75275,48.35
BTC,2025-04-14,28731125717.934357,55005810833.42204,52.23
BTC,2025-04-15,33155578229.343513,61552570256.753296,53.87
BTC,2025-04-16,25084671427.622566,47369657408.29489,52.96
BTC,2025-04-17,26948109141.803364,52461074804.32293,51.37
BTC,2025-04-18,19323821375.14309,38441234867.17872,50.27
BTC,2025-04-19,9550691272.782005,21568380558.243504,44.28
BTC,2025-04-20,12635983530.804455,24220253855.772865,52.17
BTC,2025-04-21,12625843856.313684,26704868482.667274,47.28
BTC,2025-04-22,40070025414.28289,67308811870.03099,59.53
BTC,2025-04-23,53841992235.36636,94828970233.18427,56.78
BTC,2025-04-24,39901515879.65954,81529711229.18646,48.94
BTC,2025-04-25,30031246761.093452,59831540799.08908,50.19
BTC,2025-04-26,39336184715.04292,71327803145.65506,55.15
BTC,2025-04-27,15445392739.787264,36460531957.10959,42.36
BTC,2025-04-28,15926259371.057959,36539589821.66021,43.59
BTC,2025-04-29,31913814736.53902,64014668162.63626,49.85
BTC,2025-04-30,25882629766.278946,50710966278.0255,51.04
BTC,2025-05-01,26541700309.366146,51829521179.419495,51.21
BTC,2025-05-02,30207566405.468834,55821966798.78768,54.11
BTC,2025-05-03,23276376191.483967,44820705085.94003,51.93
BTC,2025-05-04,13797554863.642815,26836837904.96347,51.41
BTC,2025-05-05,14903122945.616686,29384468838.336117,50.72
BTC,2025-05-06,24086456278.203846,44097819293.16645,54.62
BTC,2025-05-07,23348052607.071873,45567297877.603546,51.24
BTC,2025-05-08,64376174032.08048,124447440707.52536,51.73
BTC,2025-05-09,50020047720.65604,109012040162.90446,45.88
BTC,2025-05-10,40800894903.23446,111472497040.69254,36.6
BTC,2025-05-11,21558992540.042442,71701807324.12112,30.07
BTC,2025-05-12,27389436049.454792,73091917941.73894,37.47
BTC,2025-05-13,43090605819.36596,109485160784.4527,39.36
BTC,2025-05-14,33861432519.50822,88717146221.02483,38.17
BTC,2025-05-15,28398245846.798244,75865757086.51486,37.43
BTC,2025-05-16,31823340473.339912,77812758041.02379,40.9
BTC,2025-05-17,25887953182.14765,61865919902.51393,41.85
BTC,2025-05-18,18950056010.479057,47471944887.32502,39.92
BTC,2025-05-19,30744060179.802963,71020380458.57863,43.29
BTC,2025-05-20,43339734153.75087,84617429532.09836,51.22
BTC,2025-05-21,36393687094.25122,73616229898.13965,49.44
BTC,2025-05-22,60722883113.84,113470090501.12033,53.51
BTC,2025-05-23,52218408239.45193,103289345075.12479,50.56
BTC,2025-05-24,49251745837.96465,103773654941.83304,47.46
BTC,2025-05-25,27128230116.517162,47654390240.13896,56.93
BTC,2025-05-26,29652659665.048733,54878669283.05621,54.03
BTC,2025-05-27,27950577137.918888,51020683543.272,54.78
BTC,2025-05-28,38978783508.88622,77923173639.70227,50.02
BTC,2025-05-29,29794278037.284946,58821099348.765564,50.65
BTC,2025-05-30,38279231892.56757,77671055805.35596,49.28
BTC,2025-05-31,39680060337.610214,78966273467.29623,50.25
BTC,2025-06-01,20432694555.09522,44331168213.47034,46.09
BTC,2025-06-02,17721500507.53389,36965394200.22526,47.94
BTC,2025-06-03,26313843058.73954,51273786845.45321,51.32
BTC,2025-06-04,25925661121.080395,52487942069.08285,49.39
